Artisan,Product_name,Principles,Materials,Processes,Industrial_scale_items,Regular_price,Last_price,Unit_price,Url
Olive mode,Lena Gold Cut-Out Midi Dress,"woman owned, black owned",", , ,",", , ,",,Regular price,$88.00 USD,Regular price,https://www.olivemodeboutique.com/products/striped-metallic-shimmer-cut-out-midi-dress
Olive mode,Link Anklet,"woman owned, black owned",", , ,",", , ,",,Regular price,$35.00 USD,Regular price,https://www.olivemodeboutique.com/products/brenda-grands-jewelry-marine-anklet
Olive mode,Lock Earrings,"woman owned, black owned",", , ,",", , ,",,Regular price,$52.00 USD,Regular price,https://www.olivemodeboutique.com/products/codie-lock-earrings-gold-2
Olive mode,Luxe Shower Cap - Floral,"woman owned, black owned",", , ,",", , ,",,Regular price,$24.00 USD,Regular price,https://www.olivemodeboutique.com/products/kitsch-luxe-shower-cap-floral
Olive mode,Malibu Slit Off White Dress,"woman owned, black owned",", , ,",", , ,",,Regular price,$65.00 USD,Regular price,https://www.olivemodeboutique.com/products/malibu-slit-off-white-dress
Olive mode,Maui Ruched Side Slit Midi Skirt,"woman owned, black owned",", , ,",", , ,",,Regular price,$45.00 USD,Regular price,https://www.olivemodeboutique.com/products/ruched-side-slit-midi-skirt
Olive mode,Maui Satin Wrap Front Tie Waist Top,"woman owned, black owned",", , ,",", , ,",,Regular price,$45.00 USD,Regular price,https://www.olivemodeboutique.com/products/satin-wrap-front-tie-waist-top
Olive mode,Michelle Gold Link Large Woven Crossbody,"woman owned, black owned",", , ,",", , ,",,Regular price,$80.00 USD,Regular price,https://www.olivemodeboutique.com/products/urban-expressions-ines-crossbody-1
Olive mode,Michelle Gold Link Small Woven Crossbody,"woman owned, black owned",", , ,",", , ,",,Regular price,$80.00 USD,Regular price,https://www.olivemodeboutique.com/products/urban-expressions-holden-crossbody
Olive mode,Moana Straw Clutch,"woman owned, black owned",", , ,",", , ,",,Regular price,$90.00 USD,Regular price,https://www.olivemodeboutique.com/products/urban-expressions-moana-clutch
Olive mode,Moisturizing Heel Socks,"woman owned, black owned",", , ,",", , ,",,Regular price,$16.00 USD,Regular price,https://www.olivemodeboutique.com/products/moisturizing-heel-socks
Olive mode,Mykonos Maxi Dress,"woman owned, black owned",", , ,",", , ,",,Regular price,$82.00 USD,Regular price,https://www.olivemodeboutique.com/products/adunn-riah-maxi-dress-in-magenta-orange
Olive mode,Nia Bustier Top,"woman owned, black owned",", , ,",", , ,",,Regular price,$119.00 USD,Regular price,https://www.olivemodeboutique.com/products/cat-women-bustier
